No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1,19/06/2023,Vente,160700.0,9.0,,RUE,0322,DES MESANGES,54210.0,SAINT-NICOLAS-DE-PORT,54,483,,AW,284,,,,,,,,,,,,0,1.0,Maison,74.0,4.0,S,,562.0
1,10/10/2023,Vente,120000.0,,,,B074,LA GARE,64210.0,BIDART,64,125,,AI,1095,,,,,,,,,,,,0,,,,,S,,242.0
1,26/04/2023,Vente,280000.0,30.0,,AV,0520,JEAN JAURES,26500.0,BOURG LES VALENCE,26,58,,B,752,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,S,,338.0
1,24/08/2023,Vente,6000.0,,,,B176,LE VILLAGE - LOUVOIS,51150.0,VAL DE LIVRE,51,564,331.0,AB,97,,,,,,,,,,,,0,,,,,J,,383.0
1,19/06/2023,Vente,1601200.0,88.0,B,RUE,0200,DU GENERAL DE GAULLE,88000.0,CHANTRAINE,88,87,,AL,142,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,BM,,1500.0
1,20/07/2023,Vente,320300.0,39.0,,RUE,0434,ANTOINE MAILLE,13005.0,MARSEILLE 5EME,13,205,819.0,E,250,,190,,207.0,"70,07",,,,,,,2,3.0,Dépendance,0.0,0.0,,,
1,23/06/2023,Vente,210000.0,5.0,,AV,1650,GAY LUSSAC,78990.0,ELANCOURT,78,208,,BK,46,,8.0,,,,,,,,,,1,3.0,Dépendance,0.0,0.0,,,
1,07/06/2023,Vente,100000.0,36.0,,RUE,1930,PASTEUR,85000.0,ROCHE SUR YON (LA),85,191,,AL,40,,4.0,,,,,,,,,,1,2.0,Appartement,46.0,2.0,,,
1,04/01/2023,Vente,2300.0,,,,B053,LES CAVES CHALEAU,72500.0,DISSAY SOUS COURCILLON,72,115,,D,465,,,,,,,,,,,,0,,,,,BT,,3450.0
1,05/05/2023,Vente,515000.0,8.0,,RUE,0250,DE TOURS,37320.0,ESVRES,37,104,,D,1479,,,,,,,,,,,,0,1.0,Maison,169.0,6.0,S,,656.0
1,22/12/2023,Vente,315000.0,130.0,,AV,0280,DES CHEVREFEUILLES,93370.0,MONTFERMEIL,93,47,,O,131,,,,,,,,,,,,0,1.0,Maison,79.0,4.0,S,,500.0
1,25/04/2023,Vente,154000.0,106.0,A,RUE,0100,MARCEL CAUDEVELLE,62360.0,LA CAPELLE LES BOULOGNE,62,908,,AI,115,,,,,,,,,,,,0,3.0,Dépendance,0.0,0.0,S,,854.0
1,17/01/2023,Vente,230000.0,4.0,,IMP,0100,DES ALOUETTES,29900.0,CONCARNEAU,29,39,,BT,410,,57.0,,77.0,,,,,,,,2,2.0,Appartement,61.0,3.0,,,
